laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,CpuGen,Ram,Gpu,OpSys,Weight,Price_euros
1,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,5th Gen,8GB,Intel Iris Plus Graphics 640,macOS,1.37kg,1606.75
2,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,5th Gen,8GB,Intel HD Graphics 6000,macOS,1.34kg,963.98
3,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,No OS,1.86kg,706.98
4,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,7th Gen,16GB,AMD Radeon Pro 455,macOS,1.83kg,3564.12
5,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,5th Gen,8GB,Intel Iris Plus Graphics 650,macOS,1.37kg,1899.5
6,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,9th Gen,4GB,AMD Radeon R5,Windows 10,2.1kg,421.27
7,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,7th Gen,16GB,Intel Iris Pro Graphics,Mac OS X,2.04kg,3029.86
8,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,5th Gen,8GB,Intel HD Graphics 6000,macOS,1.34kg,1452.42
9,Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,16GB,Nvidia GeForce MX150,Windows 10,1.3kg,1504.13
10,Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.6kg,930.55
11,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,No OS,1.86kg,396.78
12,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,No OS,1.86kg,347.35
13,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,7th Gen,16GB,AMD Radeon Pro 555,macOS,1.83kg,2802.04
14,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,AMD Radeon R5 M430,Windows 10,2.2kg,357.88
15,Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,Unknown,8GB,Intel HD Graphics 615,macOS,0.92kg,953.13
16,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,5th Gen,8GB,Intel Iris Plus Graphics 640,macOS,1.37kg,1499.63
17,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,7th Gen,8GB,AMD Radeon R5 M430,Windows 10,2.2kg,668.59
18,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,7th Gen,16GB,AMD Radeon Pro 560,macOS,1.83kg,3323.42
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,7th Gen,8GB,Nvidia GeForce 940MX,No OS,2.2kg,458.28
20,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.22kg,800.37
21,Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,8th Gen,2GB,Intel HD Graphics 400,Windows 10,0.98kg,267.34
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,2.5kg,1053.79
23,HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,9th Gen,4GB,AMD Radeon R2,No OS,1.86kg,287.28
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.62kg,667.53
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,Intel HD Graphics 620,Windows 10,1.91kg,653.15
26,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,2.3kg,469.79
27,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,5th Gen,8GB,Intel HD Graphics 6000,Mac OS X,1.35kg,955.91
28,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,AMD Radeon 530,Windows 10,2.2kg,940.11
29,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.88kg,1271.87
30,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Nvidia GeForce 930MX,Windows 10,2.5kg,933.33
31,Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,8th Gen,4GB,Intel HD Graphics,Windows 10,1.89kg,240.01
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,6th Gen,2GB,AMD Radeon R2,Windows 10,1.65kg,292.62
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,9th Gen,4GB,AMD Radeon 530,Windows 10,2.71kg,481.71
34,Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,8th Gen,16GB,Intel UHD Graphics 620,Windows 10,1.2kg,1660.53
35,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,5th Gen,8GB,Intel HD Graphics 6000,Mac OS X,1.35kg,1261.98
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,3th Gen,4GB,Intel HD Graphics 500,Windows 10,1.44kg,213.1
37,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,7th Gen,4GB,Intel HD Graphics 620,Linux,2.1kg,419.03
38,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,AMD Radeon 530,Windows 10,2.8kg,693.2
39,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.86kg,407.74
40,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Nvidia GeForce 930MX ,Windows 10,2.1kg,1001.51
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 620,Linux,2kg,485.35
42,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1060,Windows 10,2.65kg,1700.28
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Nvidia GeForce 940MX,Linux,2.3kg,563.19
44,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,4GB,Intel UHD Graphics 620,Windows 10,2.2kg,709.13
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,12GB,Nvidia GeForce 150MX,Windows 10,2.77kg,803.49
46,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,5th Gen,8GB,Intel Iris Graphics 540,macOS,1.37kg,1356.61
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,No OS,2.2kg,371.9
48,Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,1th Gen,8GB,AMD Radeon RX 580,Windows 10,3.2kg,1703.54
49,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,AMD Radeon R5 M430,Windows 10,2.3kg,746.81
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4th Gen,4GB,Nvidia GeForce 920MX,Windows 10,2.8kg,348.28
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,8th Gen,4GB,Intel HD Graphics 400,Android,0.69kg,371.58
52,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,Nvidia GeForce MX150,Windows 10,2.2kg,860.33
53,HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,9th Gen,4GB,AMD Radeon R4 Graphics,Windows 10,1.86kg,384.39
54,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.49kg,1348.24
55,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2.4kg,501.58
56,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,AMD Radeon 520,Windows 10,2.13kg,987.59
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Windows 10,1.91kg,409.22
58,Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,2kg,608.56
59,MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1070,Windows 10,2.43kg,2856.15
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,6th Gen,4GB,Intel HD Graphics 520,Linux,2kg,537.47
61,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,16GB,AMD Radeon 530,Windows 10,2.8kg,1304.41
62,Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.7kg,934.26
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,7th Gen,8GB,Intel HD Graphics 620,No OS,1.7kg,526.36
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8th Gen,8GB,Intel UHD Graphics 620,Windows 10,1.4kg,809.97
66,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,Windows 10,1.86kg,871.13
67,Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8kg,2719.18
68,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,6th Gen,4GB,AMD Radeon 520,Windows 10,1.86kg,476.24
69,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,3th Gen,4GB,Intel HD Graphics 400,Windows 10,1.44kg,297.86
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10,1.9kg,643.61
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,12GB,Nvidia GeForce GTX 1050 Ti,Linux,3kg,921.46
72,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,7th Gen,4GB,Intel HD Graphics 620,Windows 10 S,1.252kg,1276.61
73,Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,AMD Radeon 530,Windows 10,1.4kg,1344.26
74,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8th Gen,8GB,AMD Radeon 530,Windows 10,2.2kg,950.77
75,MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,2.7kg,1547.16
76,Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,6th Gen,8GB,Intel HD Graphics 520,Windows 10,2.1kg,224.08
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,7th Gen,8GB,Nvidia GeForce GTX 1050,Windows 10,2.2kg,1199.9
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,7th Gen,8GB,Intel HD Graphics 620,No OS,2.2kg,579.94
